id_interno;nombre;anno;marca;id_categoria;color;kilometraje;url
1;SENTRA B16;2008;NISSAN;1;GRIS GRANITO;93,063;SENTRA-B16
2;SENTRA B16;2008;NISSAN;1;GRIS GRANITO;105,784;SENTRA-B16
3;SENTRA B16;2008;NISSAN;1;GRIS GRANITO;77,952;SENTRA-B16
4;SENTRA B16;2008;NISSAN;1;GRIS GRANITO;67,477;SENTRA-B16
5;SENTRA B16;2008;NISSAN;1;BEIGE;72,87;SENTRA-B16
6;SENTRA B16;2008;NISSAN;1;BEIGE;52,068;SENTRA-B16
7;SENTRA B16;2008;NISSAN;1;VERDE CLARO;126,951;SENTRA-B16
8;SENTRA B16;2008;NISSAN;1;VERDE CLARO;106,245;SENTRA-B16
9;SENTRA B16;2008;NISSAN;1;BLANCO;99,591;SENTRA-B16
10;SENTRA B16;2008;NISSAN;1;BLANCO;67,379;SENTRA-B16
11;X-TRAIL T31;2009;NISSAN;2;GRIS PLATA;49,796;X-TRAIL-T31
12;X-TRAIL T30;2009;NISSAN;2;GRIS PLATA;126,601;X-TRAIL-T30
13;X-TRAIL T30;2007;NISSAN;2;GRIS OSCURO;106,425;X-TRAIL-T30
14;FRONTIER D22;2006;NISSAN;3;VERDE;173,644;FRONTIER-D22
15;FRONTIER D22;2007;NISSAN;3;ROJO;137,89;FRONTIER-D22
16;FRONTIER D22;2007;NISSAN;3;BLANCO;46,842;FRONTIER-D22
17;FRONTIER D22;2007;NISSAN;3;BLANCO;126,14;FRONTIER-D22
18;FRONTIER D22;2007;NISSAN;3;BLANCO;137,154;FRONTIER-D22
19;FRONTIER D22;2007;NISSAN;3;BLANCO;122,283;FRONTIER-D22
20;FRONTIER D22;2006;NISSAN;3;GRIS;139,058;FRONTIER-D22
21;FRONTIER D22;2006;NISSAN;3;GRIS;95,082;FRONTIER-D22
22;FRONTIER D22;2006;NISSAN;3;GRIS;136,916;FRONTIER-D22
23;FRONTIER D22;2006;NISSAN;3;GRIS;118,481;FRONTIER-D22
24;FRONTIER D22;2007;NISSAN;3;GRIS;110,683;FRONTIER-D22
25;FRONTIER D22;2008;NISSAN;3;GRIS;56,983;FRONTIER-D22
26;FRONTIER D22;2006;NISSAN;3;GRIS;143.885;FRONTIER-D22
27;FRONTIER D22;2006;NISSAN;3;GRIS;126.360;FRONTIER-D22
28;FRONTIER D22;2006;NISSAN;3;GRIS;140.668;FRONTIER-D22
29;FRONTIER D22;2008;NISSAN;3;GRIS;120.977;FRONTIER-D22
30;B700 B700;1987;FORD;4;BLANCO;382,462;B700-B700
31;B700 B700;1988;FORD;4;BLANCO;313,256;B700-B700
